id,graph_order,R,G,B
997,0,255,255,255
68,7,38,143,69
667,8,38,143,69
52192,9,38,143,69
52196,10,38,143,69
52264,11,38,143,69
320,19,31,157,90
943,20,31,157,90
648,21,31,157,90
844,22,31,157,90
882,23,31,157,90
656,25,31,157,90
962,26,31,157,90
767,27,31,157,90
1021,28,31,157,90
1085,29,31,157,90
558,45,24,128,100
838,46,24,128,100
654,47,24,128,100
702,48,24,128,100
889,49,24,128,100
929,50,24,128,100
981,52,24,128,100
201,53,24,128,100
1047,54,24,128,100
1070,55,24,128,100
1038,56,24,128,100
1062,57,24,128,100
1030,66,24,128,100
113,67,24,128,100
1094,68,24,128,100
1128,69,24,128,100
478,70,24,128,100
510,71,24,128,100
878,73,24,128,100
657,74,24,128,100
950,75,24,128,100
974,76,24,128,100
1102,77,24,128,100
2,78,24,128,100
450,80,24,128,100
854,81,24,128,100
577,82,24,128,100
625,83,24,128,100
945,84,24,128,100
1026,85,24,128,100
1006,87,24,128,100
670,88,24,128,100
1086,89,24,128,100
1111,90,24,128,100
9,91,24,128,100
461,92,24,128,100
18693,94,24,128,100
18697,95,24,128,100
18701,96,24,128,100
18705,97,24,128,100
18709,98,24,128,100
18713,99,24,128,100
873,101,24,128,100
806,102,24,128,100
1035,103,24,128,100
1090,104,24,128,100
862,105,24,128,100
893,106,24,128,100
36,108,0,156,117
180,109,0,156,117
148,110,0,156,117
187,111,0,156,117
638,112,0,156,117
662,113,0,156,117
897,115,17,173,131
1106,116,17,173,131
1010,117,17,173,131
1058,118,17,173,131
857,119,17,173,131
849,120,17,173,131
527,123,1,147,153
600,124,1,147,153
678,125,1,147,153
252,126,1,147,153
156,127,1,147,153
243,128,1,147,153
735,137,1,147,153
251,138,1,147,153
816,139,1,147,153
847,140,1,147,153
954,141,1,147,153
1005,142,1,147,153
696,144,1,147,153
643,145,1,147,153
759,146,1,147,153
791,147,1,147,153
249,148,1,147,153
456,149,1,147,153
959,151,1,147,153
755,152,1,147,153
990,153,1,147,153
1023,154,1,147,153
520,155,1,147,153
598,156,1,147,153
1074,165,8,133,140
905,166,8,133,140
1114,167,8,133,140
233,168,8,133,140
601,169,8,133,140
649,170,8,133,140
281,172,8,133,140
1066,173,8,133,140
401,174,8,133,140
433,175,8,133,140
1046,176,8,133,140
441,177,8,133,140
421,179,8,133,140
973,180,8,133,140
573,181,8,133,140
613,182,8,133,140
74,183,8,133,140
121,184,8,133,140
593,186,8,133,140
821,187,8,133,140
721,188,8,133,140
778,189,8,133,140
33,190,8,133,140
305,191,8,133,140
750,193,8,133,140
269,194,8,133,140
869,195,8,133,140
902,196,8,133,140
377,197,8,133,140
393,198,8,133,140
805,200,8,133,140
41,201,8,133,140
501,202,8,133,140
565,203,8,133,140
257,204,8,133,140
469,205,8,133,140
31578,207,8,133,140
31582,208,8,133,140
31586,209,8,133,140
31590,210,8,133,140
31594,211,8,133,140
31598,212,8,133,140
31632,214,8,133,140
31636,215,8,133,140
31640,216,8,133,140
31644,217,8,133,140
31648,218,8,133,140
31652,219,8,133,140
