id,r,g,b,count
1,255,76,62,17226
2,24,128,100,20558
6,204,204,204,356571
7,255,174,111,196776
9,24,128,100,46927
10,255,144,255,456074
12,255,166,255,14099
15,255,144,159,36388
17,255,144,255,388352
19,126,208,75,30237
20,50,184,37,158414
23,128,192,226,73736
26,255,144,255,185284
27,255,144,159,20776
28,50,184,37,133382
30,255,93,80,12421
33,8,133,140,151362
35,255,144,255,5733
36,0,156,117,12727
38,255,93,80,34280
41,8,133,140,64684
42,255,144,255,50901
50,255,144,255,28290
52,50,184,37,137210
54,204,204,204,6052
56,128,205,248,908129
58,255,144,255,6512
59,255,144,159,25112
62,204,204,204,21421
63,255,76,62,21445
64,255,144,159,31991
66,255,144,255,3925
67,255,144,255,11815
68,38,143,69,22320
72,255,85,71,19912
74,8,133,140,46996
75,255,144,255,1870
78,204,204,204,144537
81,170,170,170,420461
83,255,179,217,123080
84,47,168,80,91026
88,255,76,62,126495
91,255,253,188,158632
93,204,204,204,4523
96,255,165,210,127941
97,21,176,179,37450
98,170,170,170,37470
100,255,166,255,2168
101,255,165,210,185750
102,204,204,204,12771
105,255,174,111,26393
106,255,179,217,1377
108,170,170,170,366624
113,24,128,100,110592
114,255,174,111,54636
115,255,144,255,820
117,204,204,204,15796
118,255,93,80,33601
120,33,152,102,27754
121,8,133,140,7244
122,255,174,111,61494
123,255,174,111,28320
125,204,204,204,107384
126,255,85,71,40178
128,255,144,255,730381
129,170,170,170,190253
131,144,235,141,132434
132,47,168,80,4826
133,255,85,71,26656
136,255,179,217,398111
139,50,184,37,143696
140,170,170,170,38341
143,255,179,217,3084
145,170,170,170,134020
146,255,195,149,322382
147,255,195,149,2167
148,0,156,117,17242
149,255,144,159,71733
153,170,170,170,97444
155,255,144,159,160281
156,1,147,153,34116
158,204,204,204,9155
159,84,191,148,868913
162,255,195,149,34633
163,33,152,102,88687
164,170,170,170,65
169,255,179,217,42581
171,47,168,80,51902
173,242,72,59,23024
177,255,179,217,3662
178,255,144,159,103374
180,0,156,117,47606
181,255,144,159,51416
186,255,144,159,72282
187,0,156,117,56724
188,157,240,210,36606
189,255,144,159,13185
190,204,204,204,130464
194,242,72,59,306261
196,149,228,200,134242
197,255,166,255,8023
198,204,204,204,265
201,24,128,100,306315
202,255,179,217,267988
203,255,179,217,9467
204,157,240,210,68995
206,255,198,226,16352
207,255,165,210,6130
209,255,179,217,36620
210,255,76,62,13200
211,64,166,102,76226
214,255,144,255,116048
215,255,144,255,249562
217,255,179,217,47148
218,255,144,159,183026
222,255,198,226,8164
223,255,93,80,75055
225,255,179,217,103766
226,242,72,59,87332
229,204,204,204,21174
230,255,198,226,17492
231,255,144,255,8398
233,8,133,140,39265
234,21,176,179,41835
237,204,204,204,1268
238,255,195,149,19923
243,1,147,153,3800
246,255,144,255,20177
249,1,147,153,16412
250,144,203,237,47342
251,1,147,153,70650
252,1,147,153,57103
255,255,144,159,93385
257,8,133,140,27659
258,144,203,237,268433
260,149,228,200,18313
262,255,144,159,278483
263,255,85,71,14753
266,144,203,237,131161
268,149,228,200,16767
269,8,133,140,18905
271,255,122,255,17636
272,255,85,71,23852
274,26,166,152,143070
279,26,166,152,5765
280,255,186,134,2008
281,8,133,140,12226
286,255,85,71,23126
287,179,192,223,1412
288,36,138,94,96470
289,21,176,179,105871
292,128,192,226,3632
296,64,166,102,89010
298,162,177,216,57596
301,204,204,204,64572
303,157,231,156,96566
304,47,168,80,66833
305,8,133,140,16605
307,255,179,217,72815
310,144,203,237,67704
311,157,231,156,97227
313,255,100,255,1028353
314,33,152,102,58940
318,255,186,134,2264
320,31,157,90,99336
321,255,144,159,6774
325,255,144,159,31477
326,204,204,204,51983
327,132,234,129,116254
328,33,152,102,80448
330,26,166,152,5947
332,255,93,80,1419
333,144,203,237,6230
334,132,234,129,84981
335,14,150,132,8218
336,204,204,204,4808
338,255,85,71,9671
342,162,177,216,407663
344,33,152,102,75396
347,255,85,71,23552
349,204,204,204,4446
350,255,195,149,3761
351,179,192,223,222614
354,255,155,205,682370
355,33,152,102,3090
356,242,72,59,1940
358,255,195,149,6751
362,255,144,159,203119
363,47,168,80,133579
364,242,72,59,22198
366,255,144,159,37959
368,14,150,132,1719
372,255,179,217,8306
374,255,166,255,24349
377,8,133,140,26424
380,204,204,204,651
381,255,144,255,190999
382,126,208,75,1111527
390,255,93,80,5753
393,8,133,140,2383
397,204,204,204,4434
401,8,133,140,12568
403,128,192,226,328489
412,36,138,94,86142
413,204,204,204,34693
414,255,128,132,12860
421,8,133,140,20103
422,255,128,132,21475
423,126,208,75,45070
427,13,159,145,53449
428,204,204,204,1364
429,255,165,210,226836
430,26,166,152,313974
433,8,133,140,38343
434,26,166,152,189850
436,204,204,204,45419
437,255,165,210,303987
440,36,138,94,87401
441,8,133,140,4543
442,26,166,152,102732
443,204,204,204,181452
445,255,165,210,160009
448,36,138,94,32585
449,204,204,204,11226
450,24,128,100,51039
451,157,231,156,29274
452,255,85,71,6811
456,1,147,153,2534
460,255,122,255,1237
461,24,128,100,6061
463,126,208,75,704947
466,204,204,204,165642
469,8,133,140,3760
470,242,72,59,26092
477,152,214,249,446569
478,24,128,100,110253
482,204,204,204,37667
483,255,144,159,113378
484,36,138,94,32852
488,36,138,94,8792
501,8,133,140,22083
502,79,194,68,367649
506,204,204,204,1406
507,154,210,189,6975519
510,24,128,100,8704
512,240,240,128,126323
515,255,76,62,65628
520,1,147,153,43782
523,255,85,71,91940
525,255,76,62,43063
526,50,184,37,132905
527,1,147,153,21155
530,204,204,204,5183
531,255,144,255,8502
534,255,186,134,33532
538,204,204,204,54734
540,14,150,132,17772
542,26,166,152,232864
543,50,184,37,155384
544,128,192,226,39908
549,255,112,128,151701
551,128,192,226,40291
553,204,204,204,15563
556,89,179,99,19128
558,24,128,100,53002
559,128,192,226,102971
564,150,167,211,60455
565,8,133,140,55742
566,168,236,211,154475
573,8,133,140,31390
574,255,186,134,110850
575,255,144,159,53487
576,255,179,217,644
577,24,128,100,135854
579,204,204,204,129393
580,255,122,255,13519
581,150,167,211,89623
582,36,138,94,54444
583,138,218,135,86750
587,255,144,255,19625
588,64,166,102,45973
590,26,166,152,131696
591,255,166,255,11210
593,8,133,140,197073
595,204,204,204,25536
596,150,167,211,117160
597,98,208,159,95539
598,1,147,153,6324
599,255,144,159,39774
600,1,147,153,57249
601,8,133,140,22665
603,204,204,204,292504
604,255,195,149,17107
605,98,208,159,98866
608,36,138,94,47263
609,255,128,132,20007
610,26,166,152,203661
611,204,204,204,6908
612,255,174,111,116116
613,8,133,140,51714
614,242,72,59,82505
616,255,144,255,81653
620,36,138,94,83585
621,255,186,134,42921
622,26,166,152,11017
625,24,128,100,129705
628,255,144,255,37161
629,255,128,132,105307
630,36,138,94,187833
632,102,168,61,866075
633,204,204,204,2603
634,255,144,255,49351
638,0,156,117,66608
639,97,231,183,101183
642,255,165,210,18767
643,1,147,153,26048
648,31,157,90,419574
649,8,133,140,3954
651,255,165,210,154402
653,255,179,217,6968
654,24,128,100,138740
655,97,231,183,113572
656,31,157,90,175224
657,24,128,100,219080
658,204,204,204,117214
661,255,179,217,111002
662,0,156,117,6232
663,97,231,183,165445
664,50,184,37,150777
665,204,204,204,194681
667,38,143,69,30944
670,24,128,100,79986
671,26,166,152,45357
672,152,214,249,4240903
673,204,204,204,3441
675,33,152,102,26125
678,1,147,153,32246
679,255,195,149,118902
680,36,138,94,2307
681,204,204,204,8241
685,255,128,132,108614
687,26,166,152,338443
689,255,85,71,5164
690,204,204,204,16623
692,14,150,132,18212
693,255,76,62,90958
694,33,152,102,46563
696,1,147,153,12181
697,204,204,204,87334
698,154,210,189,947149
699,33,152,102,508
702,24,128,100,79882
703,138,218,135,50045
704,33,152,102,20505
706,255,144,255,10621
707,89,179,99,12507
711,255,165,210,33317
718,255,128,132,104910
721,8,133,140,262459
725,255,128,132,10611
727,50,184,37,143119
728,204,204,204,2419467
729,21,176,179,84986
732,255,76,62,17699
733,255,128,132,202557
735,1,147,153,40557
741,255,128,132,29068
743,50,184,37,103606
744,204,204,204,15864
749,255,144,255,59080
750,8,133,140,12826
753,204,204,204,4370
754,128,205,248,698198
755,1,147,153,50929
757,255,144,255,8466
759,1,147,153,12694
763,255,85,71,810
765,255,179,217,7381
767,31,157,90,548083
771,255,155,136,492400
772,64,166,102,170705
773,255,179,217,37230
774,26,166,152,124451
778,8,133,140,365870
780,151,236,147,142254
781,255,179,217,3734
783,33,152,102,129999
784,204,204,204,16116
786,21,176,179,13926
788,89,218,171,71118
791,1,147,153,27692
794,204,204,204,189914
795,255,144,255,690655
797,242,72,59,258459
798,204,204,204,11347
800,33,152,102,87143
802,204,204,204,52074
803,133,153,204,173156
804,242,72,59,30755
805,8,133,140,23225
806,24,128,100,316795
810,64,166,102,70923
811,255,122,255,243784
812,204,204,204,4499
814,164,218,164,79613
816,1,147,153,38011
819,64,166,102,16165
820,255,122,255,266105
821,8,133,140,494884
827,89,179,99,59140
828,255,122,255,352451
830,255,85,71,74121
831,33,152,102,8348
832,204,204,204,1077
834,255,122,255,65522
836,13,159,145,15575
838,24,128,100,109858
839,255,179,217,25904
841,204,204,204,31529
842,255,122,255,260505
843,114,213,105,107455
844,31,157,90,439769
846,255,253,188,75107
847,1,147,153,93538
848,204,204,204,8236
849,17,173,131,6040
850,204,204,204,9689
851,255,122,255,158770
852,255,179,217,317261
854,24,128,100,189029
857,17,173,131,62235
859,255,179,217,4975
862,24,128,100,323355
863,204,204,204,64356
866,204,204,204,29288
867,255,174,111,141372
869,8,133,140,5454
872,255,166,255,23516
873,24,128,100,120014
874,255,122,255,6692
878,24,128,100,66523
880,255,186,134,22801
882,31,157,90,32752
884,204,204,204,26865
888,14,150,132,39567
889,24,128,100,180430
893,24,128,100,28394
897,17,173,131,17553
898,255,186,134,87490
900,204,204,204,180709
902,8,133,140,52399
903,255,165,210,24466
905,8,133,140,37026
906,26,166,152,75670
907,255,144,159,37877
908,204,204,204,25657
910,36,138,94,38432
911,204,204,204,779
912,255,252,145,67080
914,255,85,71,2205
916,204,204,204,35222
919,64,166,102,107821
924,204,204,204,134564
927,64,166,102,5744
929,24,128,100,11768
930,255,144,159,77177
931,255,186,134,229910
935,64,166,102,52344
936,255,252,145,1534072
939,255,179,217,3112
940,204,204,204,259516
943,31,157,90,482360
944,255,252,145,626101
945,24,128,100,211902
946,255,76,62,121128
949,204,204,204,272
950,24,128,100,206080
951,255,252,145,994574
952,160,238,157,248544
954,1,147,153,53492
955,255,179,217,70043
956,204,204,204,189721
957,255,252,145,1641797
959,1,147,153,26135
961,106,203,186,1213594
962,31,157,90,446661
963,255,179,217,6552
964,204,204,204,14223
965,26,166,152,138236
966,160,238,157,99684
968,255,252,145,722279
969,36,138,94,45342
970,255,179,217,39227
971,204,204,204,152337
973,8,133,140,48795
974,24,128,100,174585
975,255,144,255,4453
976,255,252,145,497502
977,13,159,145,51947
978,255,179,217,106079
980,255,76,62,27212
981,24,128,100,105731
982,126,208,75,8783
984,255,252,145,1135789
986,204,204,204,138449
988,13,159,145,51169
989,255,253,188,91892
990,1,147,153,27243
996,33,152,102,28448
997,255,255,255,544806
998,128,205,248,59529
1004,255,76,62,38062
1005,1,147,153,7761
1006,24,128,100,20730
1007,255,252,145,2596826
1009,204,204,204,274130
1010,17,173,131,22580
1015,64,166,102,145474
1016,204,204,204,405865
1020,255,144,159,148151
1021,31,157,90,352363
1022,133,153,204,197590
1023,1,147,153,68004
1025,255,252,145,2119170
1026,24,128,100,12213
1029,255,144,159,34561
1030,24,128,100,28974
1031,133,153,204,54432
1033,255,252,145,1218439
1035,24,128,100,201746
1037,72,200,60,240509
1038,24,128,100,289628
1039,255,165,210,5000
1041,255,252,145,2522915
1043,204,204,204,68718
1044,255,128,132,11721
1045,13,159,145,7602
1046,8,133,140,29933
1047,24,128,100,294575
1048,255,179,217,352980
1049,255,252,145,647973
1051,204,204,204,1
1052,255,166,255,123884
1054,89,179,99,46484
1056,255,252,145,2527713
1058,17,173,131,71923
1060,204,204,204,857
1061,255,144,255,30830
1062,24,128,100,23017
1064,255,252,145,2199841
1066,8,133,140,42714
1069,255,179,217,15541
1070,24,128,100,208856
1072,255,128,132,39416
1074,8,133,140,13886
1077,255,144,159,20412
1079,255,128,132,59826
1081,89,179,99,2499
1084,89,185,71,173948
1085,31,157,90,14505
1086,24,128,100,25220
1088,255,128,132,41277
1089,126,208,75,76533
1090,24,128,100,280482
1091,255,252,145,3095431
1092,204,204,204,16793
1093,255,186,134,327327
1094,24,128,100,64582
1096,255,144,159,32332
1097,230,68,56,424700
1098,255,179,217,130637
1101,33,152,102,183183
1102,24,128,100,318581
1104,255,144,159,25737
1105,128,192,226,36879
1106,17,173,131,65874
1107,255,179,217,116853
1108,204,204,204,174339
1109,255,85,71,13660
1111,24,128,100,52996
1113,255,144,159,17580
1114,8,133,140,20578
1116,204,204,204,5713
1120,255,144,159,5172
1121,50,184,37,56257
1123,204,204,204,85440
1125,36,138,94,108861
1126,255,76,62,7717
1127,21,176,179,103948
1128,24,128,100,85802
1139,149,228,200,7137
10671,242,72,59,12898
10703,126,208,75,462349
10704,126,208,75,225671
18693,24,128,100,22415
18697,24,128,100,67239
18701,24,128,100,48255
18705,24,128,100,39030
18709,24,128,100,70807
18713,24,128,100,4509
31550,0,159,172,24422
31554,0,159,172,85835
31558,0,159,172,27005
31562,0,159,172,59850
31566,0,159,172,46757
31570,0,159,172,7052
31578,8,133,140,8422
31582,8,133,140,20145
31586,8,133,140,9664
31590,8,133,140,22518
31594,8,133,140,17183
31598,8,133,140,3614
31604,0,159,172,18339
31608,0,159,172,62372
31612,0,159,172,26832
31616,0,159,172,50056
31620,0,159,172,31015
31624,0,159,172,5076
31632,8,133,140,25705
31636,8,133,140,44203
31640,8,133,140,7236
31644,8,133,140,46083
31648,8,133,140,33010
31652,8,133,140,7777
48470,88,186,72,157558
48508,51,185,50,66357
48512,204,204,204,176676
48516,204,204,204,594899
48520,204,204,204,316947
48524,204,204,204,74552
48528,204,204,204,4856
49664,255,128,132,40524
49668,255,128,132,82611
49672,255,128,132,19183
52192,38,143,69,50070
52196,38,143,69,18006
52264,38,143,69,146
52977,36,138,94,883
54203,255,144,255,9508
54211,255,144,255,3101
54215,255,186,134,41157
54219,255,186,134,1783
54223,255,186,134,11705
54227,255,186,134,4683
56435,255,128,132,46378
56439,255,144,159,5703
56551,255,144,159,33590
56559,255,144,159,9586
56563,255,144,159,33944
57699,255,85,71,8018
57704,242,72,59,35740
58447,51,185,50,46783
58451,255,165,210,11332
58455,255,253,188,13124
59923,255,122,255,3428
59927,255,186,134,8914
60647,255,76,62,48208
60651,255,76,62,32662
60655,255,76,62,6380
60659,255,76,62,14308
60663,255,144,255,2074
60830,255,144,255,3157
60834,255,166,255,15588
60838,255,166,255,13478
60842,255,166,255,5003
60846,255,166,255,10760
60850,255,166,255,6515
60854,255,166,255,4311
60858,255,166,255,7311
60862,255,166,255,2460
61277,255,144,255,6984
